subject,sessionIndex,rep,letter,f1,f2,f3,f4
v.mal,1,1,period,0.109,0.078,0.078,0.125
v.mal,1,1,t,0.078,0.125,0.078,0.016
v.mal,1,1,i,0.078,0.016,0.078,0.109
v.mal,1,1,e,0.078,0.109,0.063,0.172
v.mal,1,1,five,0.063,0.172,0.234,0.047
v.mal,1,1,Shift.r,0.234,0.047,0.078,0.11
v.mal,1,1,o,0.078,0.11,0.093,0.078
v.mal,1,1,a,0.093,0.078,0.204,-0.047
v.mal,1,1,n,0.204,-0.047,0.093,0.157
v.mal,1,2,period,0.078,0.079,0.078,0.14
v.mal,1,2,t,0.078,0.14,0.078,0.063
v.mal,1,2,i,0.078,0.063,0.094,0.093
v.mal,1,2,e,0.094,0.093,0.063,0.187
v.mal,1,2,five,0.063,0.187,0.282,0.015
v.mal,1,2,Shift.r,0.282,0.015,0.11,0.172
v.mal,1,2,o,0.11,0.172,0.093,0.047
v.mal,1,2,a,0.093,0.047,0.156,-0.078
v.mal,1,2,n,0.156,-0.078,0.094,0.188
v.mal,1,3,period,0.078,0.063,0.093,0.063
v.mal,1,3,t,0.093,0.063,0.078,0.047
v.mal,1,3,i,0.078,0.047,0.078,0.062
v.mal,1,3,e,0.078,0.062,0.063,0.141
v.mal,1,3,five,0.063,0.141,0.265,0.047
v.mal,1,3,Shift.r,0.265,0.047,0.063,0.156
v.mal,1,3,o,0.063,0.156,0.078,0.047
v.mal,1,3,a,0.078,0.047,0.156,-0.047
v.mal,1,3,n,0.156,-0.047,0.094,0.156
v.mal,1,4,period,0.094,0.078,0.094,0.093
v.mal,1,4,t,0.094,0.093,0.032,0.062
v.mal,1,4,i,0.032,0.062,0.094,0.141
v.mal,1,4,e,0.094,0.141,0.093,0.235
v.mal,1,4,five,0.093,0.235,0.25,0.156
v.mal,1,4,Shift.r,0.25,0.156,0.078,0.078
v.mal,1,4,o,0.078,0.078,0.078,0.094
v.mal,1,4,a,0.078,0.094,0.156,-0.031
v.mal,1,4,n,0.156,-0.031,0.078,0.188
v.mal,1,5,period,0.063,0.109,0.078,0.031
v.mal,1,5,t,0.078,0.031,0.079,0.078
v.mal,1,5,i,0.079,0.078,0.125,0.015
v.mal,1,5,e,0.125,0.015,0.063,0.156
v.mal,1,5,five,0.063,0.156,0.25,0.094
v.mal,1,5,Shift.r,0.25,0.094,0.062,0.157
v.mal,1,5,o,0.062,0.157,0.078,0.062
v.mal,1,5,a,0.078,0.062,0.219,-0.094
v.mal,1,5,n,0.219,-0.094,0.125,0.172
v.mal,1,6,period,0.093,0.063,0.078,0.094
